student	Q#	answer	G1	G2	G3
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	3	declare the american colonies independent from great britain	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	4	dog-eat-dog capitalism	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	5	judicial	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	6	"the united states congress; they are signed into law by the president"	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	7	higher population = more districts in the state = more house reps	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	8	speaker of the house	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	9	regulate interstate commerce	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	10	regulate commerce within the state`	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	11	voting\njury duty	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	12	18	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	13	religious freedom	1	1	1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	14	they didn't want to pay taxes to the crown, especially when they didn't have a representative voice back in england's parliament.	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	15	1778	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	16	the civil war	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	17	franklin delano roosevelt	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	18	the mississippi	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	19	texas	-1	-1	-1
c6831c5b-b1cd-472a-9e7a-2f42cfe7cffc	20	to represent the 13 original colonies	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	1	the bill of rights.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	2	freedom of speech.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	3	declared the independence of the 13 colonies from the british.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	4	capitalism.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	5	judicial.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	6	congress.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	7	they have larger populations.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	8	speaker of the house.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	9	declare war.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	10	education.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	11	voting and running for public office.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	12	18	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	13	freedom of religion.	1	1	1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	14	taxation without representation.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	15	1783	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	16	the spanish-american war.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	17	franklin delano roosevelt.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	18	mississippi river.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	19	new mexico.	-1	-1	-1
6f6db80c-46ae-4fea-81f9-50e5e25fb21f	20	13 colonies.	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	1	bill of rights	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	2	freedom of speech	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	3	freed the 13 colonies from great britain	1	1	0
374689f7-6891-4f79-8e94-ab55110b3844	4	mixed economy?	0	0	0
374689f7-6891-4f79-8e94-ab55110b3844	5	legislative branch	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	6	congress	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	7	larger population	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	8	speaker of the house!	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	9	federal tax collection	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	10	creating state laws	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	11	voting for candidates and petitioning	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	12	18	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	13	religious freedom	1	1	1
374689f7-6891-4f79-8e94-ab55110b3844	14	to gain independence	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	15	1787	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	16	civil war	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	17	roosevelt?	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	18	mississippi	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	19	new mexico	-1	-1	-1
374689f7-6891-4f79-8e94-ab55110b3844	20	for the original 13 colonies	1	1	1
4d4f9217-801a-4d72-a368-e1222c0011d2	1	not sure	0	0	0
4d4f9217-801a-4d72-a368-e1222c0011d2	2	freedom of speech	1	1	1
4d4f9217-801a-4d72-a368-e1222c0011d2	3	severed ties with the english government	1	1	0
4d4f9217-801a-4d72-a368-e1222c0011d2	4	democratic republic	0	0	0
4d4f9217-801a-4d72-a368-e1222c0011d2	5	executive, judicial, legislative	1	1	1
4d4f9217-801a-4d72-a368-e1222c0011d2	6	legislative branch. congress.	1	1	1
4d4f9217-801a-4d72-a368-e1222c0011d2	7	bigger population	1	1	1
4d4f9217-801a-4d72-a368-e1222c0011d2	8	head of congress	0	1	0
4d4f9217-801a-4d72-a368-e1222c0011d2	9	power to declare war	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	10	power to tax	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	11	vote, contact their politicians	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	12	18	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	13	religious freedom	1	1	1
4d4f9217-801a-4d72-a368-e1222c0011d2	14	civil war, were tired of paying high taxes to england	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	15	1700s?	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	16	civil war	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	17	regan?	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	18	mississippi	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	19	new mexico	-1	-1	-1
4d4f9217-801a-4d72-a368-e1222c0011d2	20	original 13 colonies	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	1	bill of rights	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	2	freedom of speech	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	3	declared independence from england	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	4	capitalism?	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	5	legislative	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	6	congress	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	7	differences in population	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	8	speaker of the house	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	9	power to declare war	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	10	marriage laws	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	11	voting and writing representatives	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	12	18	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	13	religious freedom	1	1	1
e39552ab-14d2-4103-8349-832accd476f2	14	to be free	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	15	1776	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	16	civil war	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	17	franklin d roosevelt	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	18	mississippi	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	19	texas and arizona	-1	-1	-1
e39552ab-14d2-4103-8349-832accd476f2	20	13 original colonies	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	1	bill of rights	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	2	not sure which one was first, freedom of speech is my guess though.	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	3	the declartion of independence was a document that made all people equal and started a country that was by the people for the people.	0	0	0
18f5ea77-d695-4475-b7d5-bdd174a97ef1	4	the economic system is devised of many types of things such as national banks, money backing system and the irs.	0	0	0
18f5ea77-d695-4475-b7d5-bdd174a97ef1	5	legislative	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	6	the legislative branch writes the laws and the judicial branch enforces them.	1	1	0
18f5ea77-d695-4475-b7d5-bdd174a97ef1	7	states with more people get more representatives in the house.	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	8	speaker of the house	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	9	print and distribute money	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	10	rights that pertain to schools (usually)	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	11	vote and run for a position.	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	12	18	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	13	religion and oppression.	1	1	1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	14	taxation without representation.	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	15	1776	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	16	american civil war	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	17	not sure	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	18	mississippi river	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	19	texas	-1	-1	-1
18f5ea77-d695-4475-b7d5-bdd174a97ef1	20	to represent the thirteen original colonies.	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	1	bill of rights	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	2	freedom of speech	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	3	declared our independence from england	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	4	capitalism	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	5	executive	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	6	congress	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	7	population	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	8	secretary of state	0	0	0
0f1b0cc8-022f-4a26-815a-761f12297585	9	taxation	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	10	i don't know	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	11	vote, call their representatives	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	12	17	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	13	religious freedom	1	1	1
0f1b0cc8-022f-4a26-815a-761f12297585	14	freedom from english rule	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	15	1787	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	16	war of 1812	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	17	franklin d roosevlet	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	18	mississippi	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	19	texas	-1	-1	-1
0f1b0cc8-022f-4a26-815a-761f12297585	20	original colonies	1	1	1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	1	bill of rights	1	1	1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	2	the right to bear arms	0	0	0
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	3	explained the freedom available to americans	0	0	0
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	4	capitalism	1	1	1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	5	federal, state, local	0	0	0
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	6	congress	1	1	1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	7	it is based on the population	1	1	1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	8	secretary of state	0	0	0
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	9	martial law	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	10	local tax laws	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	11	voting, contacting their local politicians	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	12	18	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	13	freedom of religion	1	1	1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	14	to be independent from england, and to establish themselves as their own nation.	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	15	1774	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	16	civil war	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	17	eisenhower	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	18	mississippi river, hudson river	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	19	texas	-1	-1	-1
3775e1e7-60f2-40e3-8fb5-bbc71c734eca	20	13 states was their when it was made	0	1	0
6539e0b9-93b7-4531-9de8-250475243a32	1	the bill of rights	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	2	freedom of speech	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	3	showed our determination to split from the united kingdom	0	0	0
6539e0b9-93b7-4531-9de8-250475243a32	4	capitalism	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	5	executive	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	6	congress	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	7	they have a larger population	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	8	speaker of the house	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	9	federal income tax	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	10	making its own laws	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	11	voting, protesting	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	12	18	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	13	escape religious persecution	1	1	1
6539e0b9-93b7-4531-9de8-250475243a32	14	they were being unfairly taxed without representation	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	15	1789	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	16	civil war	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	17	franklin roosevelt	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	18	mississippi river	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	19	texas	-1	-1	-1
6539e0b9-93b7-4531-9de8-250475243a32	20	one for each of the 13 colonies	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	1	the bill of rights	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	2	freedom of speech	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	3	identified us as a nation separate from that of britain	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	4	capitalistic	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	5	executive	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	6	congress	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	7	population based	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	8	secretary of state	0	0	0
d3b344c9-97d4-4162-bfcd-d35b4823fde1	9	declare war	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	10	taxation	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	11	vote and attend public meetings	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	12	18	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	13	freedom of religion	1	1	1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	14	for independence	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	15	1789	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	16	war of 1812	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	17	franklin roosevelt	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	18	mississippi	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	19	texas	-1	-1	-1
d3b344c9-97d4-4162-bfcd-d35b4823fde1	20	13 original colonies	1	1	1
b72e9b42-863a-4490-bf47-e041eb69695c	1	bill of rights	1	1	1
b72e9b42-863a-4490-bf47-e041eb69695c	2	bear arms	0	0	0
b72e9b42-863a-4490-bf47-e041eb69695c	3	exactly what it's named.	0	0	0
b72e9b42-863a-4490-bf47-e041eb69695c	4	a total failure.	0	0	0
b72e9b42-863a-4490-bf47-e041eb69695c	5	executive, legislative, judicial,	1	1	1
b72e9b42-863a-4490-bf47-e041eb69695c	6	president, congress,	1	1	0
b72e9b42-863a-4490-bf47-e041eb69695c	7	population	1	1	1
b72e9b42-863a-4490-bf47-e041eb69695c	8	speaker of the house	1	1	1
b72e9b42-863a-4490-bf47-e041eb69695c	9	torture in guantanimo or whatever it's called	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	10	deciding its own laws, under federal rights.	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	11	voting, not voting.	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	12	eighteen	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	13	to escape religious tyranny.  ironic, right?	1	1	1
b72e9b42-863a-4490-bf47-e041eb69695c	14	taxes were being raised on everything, too much taxes was screwing us.	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	15	1776	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	16	civil	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	17	hoover	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	18	mississippi	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	19	texas	-1	-1	-1
b72e9b42-863a-4490-bf47-e041eb69695c	20	original colonies.	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	1	bill of rights	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	2	freedom of speech	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	3	declare independence of the colonies from britain	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	4	capitalism	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	5	executive	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	6	congress	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	7	population differences	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	8	the speaker of the house	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	9	declaring war	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	10	forming a militia	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	11	voting and running for office	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	12	18	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	13	religious freedom	1	1	1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	14	they were being taxed without representation	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	15	1787	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	16	war of 1812	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	17	franklin d. roosevelt	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	18	mississippi	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	19	texas	-1	-1	-1
a078df10-f445-4c8a-bb1b-4e048fca6a3b	20	to represent the original 13 colonies	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	1	the bill of rights	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	2	the right to assemble peacefully	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	3	declared the us's indepedence from britain	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	4	free market system	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	5	executive branch	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	6	congress makes the federal laws	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	7	they have a higher population	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	8	the speaker of the house would then become president	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	9	the power to declare war	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	10	provide education	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	11	vote and run for public office	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	12	18	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	13	to escape religious persecution	1	1	1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	14	to avoid harsh taxes imposed by the king	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	15	1787	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	16	spanish american war	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	17	fdr	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	18	mississippi	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	19	texas	-1	-1	-1
7f78cae5-929e-4c3b-b58a-d4644bfaa719	20	they represent the original thirteen colonies	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	1	bill of rights	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	2	freedom of press	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	3	declare independance from britain	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	4	free market system	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	5	legislative	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	6	congress	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	7	they have moe people	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	8	secretary of state	0	0	0
120a4940-d4b2-41f6-b702-59fdd4174a9d	9	enforce laws	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	10	create laws	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	11	vote, run for office	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	12	18	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	13	religious freedom	1	1	1
120a4940-d4b2-41f6-b702-59fdd4174a9d	14	independance	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	15	1776	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	16	war of 1812	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	17	hoover and franklin roosevelt	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	18	missisippi and missouri	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	19	texas	-1	-1	-1
120a4940-d4b2-41f6-b702-59fdd4174a9d	20	original 13 states.	0	1	1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	1	declaration of independence	0	0	0
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	2	right to open speech	1	1	1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	3	declared our independance as a free country	1	1	1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	4	democratic	0	0	0
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	5	supreme	0	0	0
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	6	the house of representatives, us senate	1	1	1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	7	they are bigger	0	0	0
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	8	secretary of state	0	0	0
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	9	veto a law	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	10	pass a law	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	11	vote, obey the laws	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	12	18	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	13	for the land	1	0	0
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	14	for their land	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	15	1742	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	16	civil war	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	17	eisenhower	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	18	missouri	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	19	california	-1	-1	-1
c2e279e9-cf5a-4c38-b960-03697a1bf2ab	20	13 original colonies	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	1	the bill of rights	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	2	freedom of the press	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	3	separate the united states from england	1	1	0
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	4	capitalism	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	5	executive	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	6	congress	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	7	they have a larger population	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	8	the secretary of something	0	0	0
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	9	interstate commerce	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	10	state taxes	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	11	voting and running for office	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	12	18	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	13	religious freedom	1	1	1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	14	for freedom	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	15	1787	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	16	war of 1812	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	17	fdr	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	18	the mississippi and the hudson	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	19	texas	-1	-1	-1
b71109d2-40c4-4f20-a88e-e8d7abcb4f49	20	for the 13 original colonies	1	1	1
43489f4a-6a8f-4057-8e4e-1ab9587b96e5	1	bill of rights	1	1	1
43489f4a-6a8f-4057-8e4e-1ab9587b96e5	2	freedom of speech	1	1	1
43489f4a-6a8f-4057-8e4e-1ab9587b96e5	3	made america a free country from england	1	1	0
